TW_SPOTIFY_POS,SPOTIFY_CHART_MOVEMENT,ARTIST_TITLE,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS
118,+3,blink-182 - All The Small Things,309,64,,56125,879.0,383141,1202,13197861
119,-42,G Flip - The Worst Person Alive,4,55,,55806,-10533.0,252801,55806,252801
120,0,Jessie Murph - Wild Ones (w/ Jelly Roll),79,92,,55475,197.0,381794,-3196,4232403
121,+3,The Neighbourhood - Sweater Weather,1185,20,,55373,818.0,368938,136,66980836
122,+1,Avicii - Wake Me Up,1564,12,,55314,494.0,383772,-3165,53448912
123,+7,Kendrick Lamar - All The Stars (w/ SZA),815,2,(x13),55161,1545.0,363965,2225,48718796
124,-16,Dom Dolla - Eat Your Man (w/ Nelly Furtado),121,57,,55033,-2622.0,209827,55033,5906661
125,0,Chris Stapleton - Tennessee Whiskey,240,79,,54957,454.0,404153,-5787,11531223
126,+2,Chris Brown - Angel Numbers / Ten Toes,40,107,,54908,860.0,366071,-495,1996361
127,0,Luke Combs - Beautiful Crazy,505,31,,54661,402.0,397800,-4250,25907225
128,+1,Luke Combs - When It Rains It Pours,521,23,,54642,886.0,404803,-5242,29585917
129,+8,Bryan Adams - Summer Of '69,1665,47,,54599,1807.0,393409,-2184,62888768
130,+21,Creedence Clearwater Revival - Bad Moon Rising,104,85,,54415,3801.0,392243,-447,4706594
131,+3,The Police - Every Breath You Take,151,105,,54388,1294.0,385814,-113,6595454
132,+11,Post Malone - Circles,1588,2,(x64),54204,2101.0,263818,-1834,118750183
133,+2,Imagine Dragons - Demons,453,40,,54144,1260.0,369741,-1257,7747148
134,-8,Tame Impala - The Less I Know The Better,1583,6,,54056,-352.0,384390,-5353,52278957
135,+5,Linkin Park - In the End,88,19,,53500,1235.0,307171,-1449,3837493
136,+2,Eminem - Lose Yourself,2400,34,,53303,654.0,374247,-2259,66807059
137,+2,Tom Odell - Another Love,774,18,,53151,767.0,308917,-1964,47051382
138,+3,Kanye West - Flashing Lights (w/ Dwele),303,87,,53039,815.0,354864,225,14435618
139,-7,Troye Sivan - One Of Your Girls,107,19,,52660,-519.0,296199,1746,7676846
140,+2,Hotel Ugly - Shut up My Moms Calling,427,66,,52521,340.0,297460,-282,19738906
141,-10,"21 Savage - née-nah (w/ Travis Scott, Metro Boomin)",19,23,,52078,-1364.0,366901,-10948,1360365
142,+2,Sabrina Carpenter - Nonsense,270,10,,51945,-113.0,299951,-986,13564576
143,+12,Red Hot Chili Peppers - Can't Stop,70,100,,51827,2073.0,346123,-2183,3283231
144,-38,Morgan Wallen - Spin You Around (1/24),4,106,,51660,-6356.0,203520,51660,203520
145,+13,Hozier - Take Me To Church,1948,2,(x45),51517,2316.0,292845,176,62159326
146,+4,Empire of the Sun - Walking On A Dream,698,92,,51407,513.0,373732,-2708,27838321
147,-2,Drake - Jimmy Cooks (w/ 21 Savage),584,4,,51386,-232.0,295840,-1365,37414498
148,+1,"Metro Boomin - Creepin' (w/ The Weeknd, 21 Savage)",423,2,(x4),51141,139.0,350594,-1610,45060849
149,+5,Miguel - Sure Thing,478,11,,50882,922.0,295687,-1726,31970148
150,-14,Chance Peña - i am not who i was,9,136,,50775,-2090.0,252568,246,445807
151,-5,Eminem - The Real Slim Shady,1000,52,,50775,-722.0,369776,-2186,42743113
152,-4,Fleetwood Mac - Everywhere - 2017 Remaster,599,66,,50761,-347.0,368621,-8485,25196127
153,+3,The Weeknd - Die For You,643,21,,50553,1092.0,288773,2523,40955749
154,-21,Arctic Monkeys - I Wanna Be Yours,516,63,,50543,-2572.0,303918,-153,24488035
155,+5,5 Seconds of Summer - Youngblood,1737,1,(x41),50538,1536.0,293401,-523,116821424
156,+21,Billie Eilish - lovely (w/ Khalid),1998,4,,49966,2819.0,280474,3794,106090246
157,+4,Travis Scott - MY EYES,57,11,,49592,779.0,287270,195,3219691
158,-6,The Kid LAROI - BLEED,68,32,,49558,-620.0,147419,49558,4265210
159,+6,Drake - IDGAF (w/ Yeat),112,5,,49538,1014.0,284642,1054,8344413
160,+10,Olivia Rodrigo - good 4 u,843,1,(x54),49165,974.0,194512,1709,87789663
161,+7,Taylor Swift - The Man,97,15,,49026,704.0,244022,-1397,5261060
162,+1,Travis Scott - I KNOW ?,164,16,,48928,248.0,286839,116,9266617
163,-1,"Tyler, The Creator - See You Again (w/ Kali Uchis)",314,12,,48857,54.0,286876,-802,19697285
164,+9,Ed Sheeran - Shivers,867,4,,48821,1247.0,288713,-2818,81302230
165,-18,Jungle - Back On 74,33,125,,48765,-2425.0,152269,48765,1509760
166,-2,Bon Jovi - Livin' On A Prayer,357,75,,48560,-110.0,355802,-2711,13698763
167,-8,Kanye West - Homecoming (w/ Chris Martin),80,126,,48497,-576.0,286672,-1475,3714278
168,+3,Reneé Rapp - Not My Fault (w/ Megan Thee Stallion),2,168,,48452,348.0,96556,48452,96556
169,-2,Journey - Don't Stop Believin' (2022 Remaster),38,51,,48274,-63.0,354131,-1512,1937264
170,+14,Lewis Capaldi - Before You Go,1346,9,,48236,1687.0,275850,210,82916206
171,+8,PinkPantheress - Boy's a liar Pt. 2 (w/ Ice Spice),336,1,(x36),48103,1121.0,183205,48103,42732617
172,0,Noah Kahan - You’re Gonna Go Far,12,146,,47920,69.0,240537,-2827,579985
173,+1,Carly Rae Jepsen - Call Me Maybe,280,113,,47885,450.0,289855,266,11877448
174,RE,The Beatles - Here Comes The Sun - Remastered 2009,53,111,,47869,,286898,739,2276358
175,+1,Frank Ocean - Thinkin Bout You,84,60,,47844,640.0,180936,47844,1262040
176,+7,Taylor Swift - august,190,12,,47726,1114.0,139160,1468,10401553
177,-2,Tiësto - 10:35 (w/ Tate McRae),431,12,,47654,251.0,277081,-1704,30665591
178,-21,Olivia Rodrigo - get him back!,93,4,,47617,-1783.0,186889,47617,8771979
179,RE,Queen - Crazy Little Thing Called Love - Remastered 2011,32,141,,47552,,282553,192,1319041
180,+8,Kanye West - Gold Digger (w/ Jamie Foxx),1261,40,,47507,1307.0,294035,7,23546827
181,-1,4batz - act ii: date @ 8,4,180,,47266,339.0,135564,47266,181641
182,+15,Foo Fighters - Everlong,578,32,,47192,1806.0,232238,-371,26306581
183,RE,Lady Gaga - Shallow (w/ Bradley Cooper),1791,4,,46951,,232748,-442,102318688
184,+6,"Metro Boomin - Too Many Nights (w/ Future, Don Toliver)",292,32,,46757,613.0,230078,567,15571641
185,+2,Mac Miller - The Spins,340,100,,46744,428.0,187305,-2736,11756781
186,0,Bryan Martin - We Ride,56,136,,46666,256.0,286977,-3364,2611311
187,RE,Lil Tecca - 500lbs,25,134,,46557,,46557,-300,1171479
188,+3,Kendrick Lamar - Money Trees (w/ Jay Rock),731,27,,46534,445.0,191135,-529,35636178
189,RE,Tracy Chapman - Fast Car,194,107,,46529,,234730,-3897,6498009
190,-8,Akon - Smack That (w/ Eminem),54,139,,46476,-200.0,281012,-574,2434941
191,-25,Fred again.. - ten (w/ Jozzy),15,59,,46379,-2144.0,142369,46379,758765
192,-14,Imagine Dragons - Thunder,965,6,,46348,-688.0,284022,-4249,53984995
193,+2,Taylor Swift - Delicate,143,21,,46328,602.0,92054,46328,8023868
194,-9,The Killers - Somebody Told Me,12,105,,46311,-226.0,92848,46311,347161
195,RE,Van Morrison - Brown Eyed Girl,975,64,,46300,,291757,-5849,37866360
196,-3,Eminem - Mockingbird,391,33,,46142,254.0,273103,46142,21264233
197,-1,50 Cent - In Da Club,588,46,,46043,640.0,283073,-972,23568097
198,-45,Lana Del Rey - Say Yes To Heaven,109,14,,45875,-4133.0,145756,45875,7250706
199,-1,Fleetwood Mac - Go Your Own Way - 2004 Remaster,1544,50,,45873,711.0,336922,-4452,62230849
200,-11,Eminem - Love The Way You Lie (w/ Rihanna),71,101,,45697,-453.0,273509,45697,3191623
