date,artist_names,track_name,rank,previous_rank,rank_change,peak_rank,days_at_peak,days_on_chart,popularity_score,daily_streams,daily_streams_change,7Day_streams,7Day_streams_change,total_streams,label,track_id
05-02-2024,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",42,57,15,1,6.0,207,95,92209,15619.0,568788,8054,24838969,Darkroom/Interscope Records,6wf7Yu7cxBSPrRlWeSeK0Q
05-02-2024,Good Neighbours,Home,43,50,7,43,,9,82,92052,9169.0,529750,32113,637305,Some Action,68mOSKT4uBkKddEAhlMO61
05-02-2024,Ocean Alley,Confidence,44,35,-9,4,,1052,84,91480,-7862.0,673630,-5304,50636671,Ocean Alley,7to68V64Cu6zk0UDo5tyw3
05-02-2024,Lord Huron,The Night We Met,45,49,4,29,,589,92,90067,6378.0,608987,-2415,25263276,Play It Again Sam,3hRV0jL3vUpRrcy398teAU
05-02-2024,Dua Lipa,Dance The Night - From Barbie The Album,46,43,-3,3,2.0,256,93,89546,-288.0,690426,-19373,31797604,Atlantic Records,1vYXt7VSjH9JIM5oRRo7vA
05-02-2024,Lewis Capaldi,Someone You Loved,47,44,-3,3,6.0,1827,91,89382,2232.0,613334,9454,150083991,Vertigo Berlin,7qEHsqek33rTcFNT9PFqLf
05-02-2024,The Killers,Mr. Brightside,48,42,-6,10,,2591,90,89365,-1514.0,730356,-21242,152623623,Island Records,003vvx7Niy0yvhvHt4a68B
05-02-2024,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),49,46,-3,1,10.0,102,92,88481,2827.0,613755,1717,14134648,Taylor Swift,1Iq8oo9XkmmvCQiGOfORiz
05-02-2024,The Goo Goo Dolls,Iris,50,52,2,30,,1092,89,85832,4759.0,548450,22285,51391058,Warner Records,6Qyc6fS4DsZjB2mRW9DsQs
05-02-2024,Doja Cat,Agora Hills,51,48,-3,11,,137,85,83845,-541.0,616037,-8103,14453625,Kemosabe Records/RCA Records,5PyDJG7SQRgWXefgexqIge
05-02-2024,Paul Russell,Lil Boo Thang,52,47,-5,14,,125,89,83490,-1772.0,630107,-6990,11786546,Arista Records,0cVyQfDyRnMJ0V3rjjdlU3
05-02-2024,Fleetwood Mac,Dreams - 2004 Remaster,53,45,-8,7,,2049,89,82658,-3565.0,595234,7561,114578972,Rhino/Warner Records,0ofHAoxe9vBkTCp2UQIavz
05-02-2024,Morgan Wallen,Thinkin’ Bout Me,54,51,-3,46,,337,87,81187,-638.0,591174,21,19376167,Big Loud Records / Mercury Records / Republic Records,0PAcdVzhPO4gq1Iym9ESnK
05-02-2024,Troye Sivan,Rush,55,53,-2,11,,206,86,80317,-688.0,610621,-11823,16680206,EMI Recorded Music Australia Pty Ltd,4ZnkygoWLzcGbQYCm3lkae
05-02-2024,Taylor Swift,Lover,56,58,2,2,1.0,367,92,78027,2432.0,513719,9274,23694012,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI
05-02-2024,Dominic Fike,Babydoll,57,55,-2,43,,148,85,77535,-1503.0,512468,8767,8793475,Columbia,7yNf9YjeO5JXUE3JEBgnYc
05-02-2024,SZA,Snooze,58,70,12,29,,412,93,77340,8738.0,473180,13210,27202363,Top Dawg Entertainment/RCA Records,4iZ4pt7kvcaH6Yo8UoZ4s2
05-02-2024,Creedence Clearwater Revival,Have You Ever Seen The Rain,59,54,-5,39,,514,90,76938,-3178.0,577645,-1023,26320457,Craft Recordings,2LawezPeJhN4AWuSB0GtAU
05-02-2024,"Dave, Central Cee",Sprinter,60,60,0,1,63.0,250,90,75951,1490.0,571855,-12166,41892671,Neighbourhood / Live Yours,2FDTHlrBguDzQkp7PVj16Q
05-02-2024,Taylor Swift,Don’t Blame Me,61,62,1,12,,543,91,75625,2133.0,485798,11181,28893801,"Big Machine Records, LLC",1R0a2iXumgCiFb7HEZ7gUE
05-02-2024,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),62,61,-1,29,,165,86,74307,-139.0,528079,522,11184415,Warner Records,4pCbJC43j3gSqG6Fen6upD
05-02-2024,Taylor Swift,cardigan,63,76,13,1,6.0,404,91,72397,5356.0,454631,13963,23821389,Taylor Swift,4R2kfaDFhslZEMJqAFNpdd
05-02-2024,Kanye West,Heartless,64,66,2,39,,621,91,71923,2160.0,504998,849,30454373,Roc-A-Fella,4EWCNWgDS8707fNSZ1oaA5
05-02-2024,J. Cole,No Role Modelz,65,71,6,20,,1660,91,71597,2996.0,495919,801,86232836,Roc Nation Records LLC,68Dni7IE4VyPkTOH9mRWHr
05-02-2024,SZA,Kill Bill,66,83,17,1,26.0,424,91,71477,6898.0,475262,349,59486896,Top Dawg Entertainment/RCA Records,1Qrg8KqiBpW07V7PNxwwwL
05-02-2024,"Drake, Wizkid, Kyla",One Dance,67,59,-8,27,98.0,1410,91,71299,-3584.0,526748,563,87378191,Cash Money Records/Young Money Ent./Universal Rec.,1zi7xx7UVEFkmKfv06H8x0
05-02-2024,Harry Styles,As It Was,68,63,-5,1,53.0,677,95,71254,-929.0,523793,-3320,100616278,Columbia,4Dvkj6JhhA12EX05fT7y2e
05-02-2024,Richy Mitch & The Coal Miners,Evergreen,69,73,4,64,,103,89,71048,3091.0,483557,4735,5348094,Richy Mitch & The Coal Miners,6me7F0aaZjwDo6RJ5MrfBD
05-02-2024,Frank Ocean,Pink + White,70,64,-6,38,,458,92,69501,-1283.0,480253,-140,26960651,Boys Don't Cry,3xKsf9qdS1CyvXSMEid6g8
05-02-2024,Chris Stapleton,You Should Probably Leave,71,65,-6,61,,197,85,67774,-2786.0,500239,713,10562232,Mercury Nashville,2UikqkwBv7aIvlixeVXHWt
05-02-2024,Taylor Swift,Karma,72,91,19,7,,343,87,67396,5350.0,427471,11109,24729368,Taylor Swift,7KokYm8cMIXCsGVmUvKtqf
05-02-2024,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,73,72,-1,1,27.0,1932,88,66925,-1332.0,487891,-1610,151812141,Republic Records,0RiRZpuVRbi7oqRdSMwhQY
05-02-2024,Morgan Wallen,You Proof,74,69,-5,13,,492,85,66872,-1955.0,500262,-984,31939054,Big Loud Records / Mercury Records / Republic Records,5W4kiM2cUYBJXKRudNyxjW
05-02-2024,"FISHER, Kita Alexander",Atmosphere,75,80,5,57,,154,63,66705,1058.0,500582,-7746,8740612,etcetc AU,0yfJlRyn9VEZfonQUIPdkr
05-02-2024,Coldplay,Yellow,76,77,1,23,,1081,93,66688,-322.0,464126,1198,46286480,Parlophone UK,3AJwUDP919kvQ9QcozQPxg
05-02-2024,"Flume, kai",Never Be Like You,77,68,-9,27,19.0,635,78,65800,-3528.0,501118,-4481,48414654,Future Classic,5WI2ltQIdwgzf1SNE76JyR
05-02-2024,The Weeknd,Blinding Lights,78,75,-3,1,65.0,1526,93,65573,-2026.0,480020,-195,144379207,Republic Records,0VjIjW4GlUZAMYd2vXMi3b
05-02-2024,Luke Combs,The Kind of Love We Make,79,84,5,13,,599,82,65067,635.0,459317,3063,47713766,River House Artists/Columbia Nashville,48UKTR66uUOT9LaUvooTNx
05-02-2024,Bruno Mars,Just the Way You Are,80,87,7,80,,721,88,65064,1775.0,325659,65064,26874722,Atlantic Records,7BqBn9nzAq8spo5e7cZ0dJ
05-02-2024,"MK, Dom Dolla",Rhyme Dust,81,82,1,13,,249,76,65016,111.0,538665,-30196,14525623,Columbia,59QDyqLww2pxyg9ijOPO7f
05-02-2024,Glass Animals,Heat Waves,82,78,-4,1,79.0,1286,91,64956,-2024.0,492490,-7383,160267984,Polydor Records,3USxtqRwSYz57Ewm6wWRMp
05-02-2024,Creedence Clearwater Revival,Fortunate Son,83,79,-4,59,,379,88,64877,-1170.0,485300,4466,18219170,Craft Recordings,4BP3uh0hFLFRb5cjsgLqDh
05-02-2024,"Rema, Selena Gomez",Calm Down (with Selena Gomez),84,81,-3,18,,512,82,64691,-690.0,481703,-4491,37625871,Mavin Records / Jonzing World,1s7oOCT8vauUh01PbJD6ps
05-02-2024,"Rihanna, Calvin Harris",We Found Love,85,86,1,17,,360,65,64281,303.0,469822,-20,19563334,Def Jam Recordings,1zv3WFUbZ5vPxFq9I2jAU1
05-02-2024,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,86,67,-19,1,12.0,906,84,63848,-5848.0,483785,-2007,96295239,EMI,6JIC3hbC28JZKZ8AlAqX8h
05-02-2024,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),87,89,2,44,,59,87,63801,1479.0,453586,-2570,3202156,Mercury Records/Republic Records,22VHOlVYBqytsrAqV8yXBK
05-02-2024,Peggy Gou,(It Goes Like) Nanana - Edit,88,74,-14,15,,225,89,63311,-4407.0,505600,-17267,16322906,XL Recordings,23RoR84KodL5HWvUTneQ1w
05-02-2024,"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),89,88,-1,43,,180,85,63235,183.0,443341,-1021,10114223,Warner Records,42TtHTxWk782ZBiqyOi2d1
05-02-2024,Justin Bieber,Ghost,90,93,3,8,,854,90,62374,1342.0,446029,-150,62624284,RBMG/Def Jam,6I3mqTwhRpn34SLVafSH7G
05-02-2024,Miley Cyrus,Party In The U.S.A.,91,85,-6,27,,1910,85,61842,-2299.0,459416,-1823,81833114,Hollywood Records,3E7dfMvvCLUddWissuqMwr
05-02-2024,"David Guetta, Bebe Rexha",I'm Good (Blue),92,94,2,1,5.0,527,92,61671,1126.0,457163,-4268,55671733,Parlophone UK,4uUG5RXrOk84mYEfFvj3cK
05-02-2024,Dylan Gossett,Coal,93,98,5,81,,57,85,61572,1717.0,436156,-1125,2926898,Dylan Gossett,4dtIxANFBU6CfhI9c2hf2g
