Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,Cigarettes After Sex,Tejano Blue,New Music Friday AU & NZ,35,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Cigarettes After Sex,Tejano Blue,Front Left,14,564613,https://i.scdn.co/image/ab67706f0000000369a21bba4be38cf223495aa2,Good Neighbours
2024-03-01,Cigarettes After Sex,Tejano Blue,Indie Arrivals,3,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Cigarettes After Sex,Tejano Blue,Alt Here,6,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Mannequin Pussy,Loud Bark,New Music Friday AU & NZ,36,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Mannequin Pussy,Loud Bark,Indie Arrivals,5,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Mannequin Pussy,Loud Bark,Rock Out.,2,90566,https://i.scdn.co/image/ab67706f0000000322f9f53ad4072c05c72924b3,Mannequin Pussy
2024-03-01,Mannequin Pussy,Loud Bark,Alt Here,3,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,LEE.,Up,New Music Friday AU & NZ,37,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,LEE.,Up,The Drip,3,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,Dylan Gossett,Somewhere Between,New Music Friday AU & NZ,38,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Dylan Gossett,Somewhere Between,Fresh Country,11,380126,https://i.scdn.co/image/ab67706f00000003a0f2446fcc59f5fd2fe8e52f,Bronson Diamond
2024-03-01,Faye Webster,Underdressed at the Symphony,New Music Friday AU & NZ,39,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Faye Webster,Underdressed at the Symphony,Indie Arrivals,14,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,Faye Webster,Underdressed at the Symphony,Alt Here,8,47872,https://i.scdn.co/image/ab67706f000000033b0354686e7b8ccff95a6fdf,St. Vincent
2024-03-01,Faye Webster,Underdressed at the Symphony,Coffee + Chill,20,544004,,
2024-03-01,"Gesaffelstein, Yan Wagner",Hard dreams,New Music Friday AU & NZ,40,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Surfaces, JVKE",Don't Let Me Down (feat. JVKE),New Music Friday AU & NZ,41,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Surfaces, JVKE",Don't Let Me Down (feat. JVKE),Pop n' Fresh,19,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,"AJ Curtis, Scorey",ROCK N ROLL (AJ Curtis & Scorey),New Music Friday AU & NZ,42,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"AJ Curtis, Scorey",ROCK N ROLL (AJ Curtis & Scorey),The Drip,7,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,SHOWNU X HYUNGWON (MONSTA X),I Hate You (2024) - Spotify Singles,New Music Friday AU & NZ,43,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Meek Mill, Future",Giving Chanel,New Music Friday AU & NZ,44,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Meek Mill, Future",Giving Chanel,The Drip,5,89276,https://i.scdn.co/image/ab67706f00000003475e7a5a312ca6b38d04ae35,Meek Mill
2024-03-01,Lotte Gallagher,Gray,New Music Friday AU & NZ,45,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Lotte Gallagher,Gray,triple j's New Music Hitlist,9,310214,,
2024-03-01,Hey! Astro,Superficial,New Music Friday AU & NZ,46,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Hey! Astro,Superficial,Pop n' Fresh,27,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,Hey! Astro,Superficial,Indie Arrivals,32,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,"RØNIN, JaeyBxrd",Alone,New Music Friday AU & NZ,47,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
